Birth Date,Birth Place,Death Date,Death Place,Name,URL
1976-10-23,"Vancouver, British Columbia, Canada",,," Ryan Reynolds
",https://www.imdb.com//name/nm0005351
1969-4-6,"Passaic, New Jersey, USA",,," Paul Rudd
",https://www.imdb.com//name/nm0748620
1980-1-18,"Los Angeles, California, USA",,," Jason Segel
",https://www.imdb.com//name/nm0781981
1967-7-26,"Shirebrook, Derbyshire, England, UK",,," Jason Statham
",https://www.imdb.com//name/nm0005458
1925-12-13,"West Plains, Missouri, USA",,," Dick Van Dyke
",https://www.imdb.com//name/nm0001813
1983-10-5,"New York City, New York, USA",,," Jesse Eisenberg
",https://www.imdb.com//name/nm0251986
1968-11-18,"Dallas, Texas, USA",,," Owen Wilson
",https://www.imdb.com//name/nm0005562
1969-1-14,"Rye, New York, USA",,," Jason Bateman
",https://www.imdb.com//name/nm0000867
1969-9-14,"New Orleans, Louisiana, USA",,," Tyler Perry
",https://www.imdb.com//name/nm1347153
1990-1-13,"Melbourne, Victoria, Australia",,," Liam Hemsworth
",https://www.imdb.com//name/nm2955013
1931-3-22,"Montreal, Quebec, Canada",,," William Shatner
",https://www.imdb.com//name/nm0000638
1933-6-11,"Milwaukee, Wisconsin, USA",2016-8-29,"Stamford, Connecticut, USA"," Gene Wilder
",https://www.imdb.com//name/nm0000698
1982-3-11,"Los Angeles, California, USA",,," Thora Birch
",https://www.imdb.com//name/nm0000301
1910-3-8,"New York City, New York, USA",2000-4-8,"Newport Beach, California, USA"," Claire Trevor
",https://www.imdb.com//name/nm0872456
1917-4-29,"Brooklyn, New York City, New York, USA",2012-7-15,"Manhattan, New York City, New York, USA"," Celeste Holm
",https://www.imdb.com//name/nm0002141
1923-5-7,"Michigan City, Indiana, USA",1985-12-12,"New York City, New York, USA"," Anne Baxter
",https://www.imdb.com//name/nm0000879
1970-3-18,"Newark, New Jersey, USA",,," Queen Latifah
",https://www.imdb.com//name/nm0001451
1879-8-15,"Philadelphia, Pennsylvania, USA",1959-6-18,"Beverly Hills, California, USA"," Ethel Barrymore
",https://www.imdb.com//name/nm0000856
1979-5-9,"New York City, New York, USA",,," Rosario Dawson
",https://www.imdb.com//name/nm0206257
1918-10-27,"Manhattan, New York City, New York, USA",2005-3-6,"New Haven, Connecticut, USA"," Teresa Wright
",https://www.imdb.com//name/nm0942863
1906-5-3,"Quincy, Illinois, USA",1987-9-25,"Woodland Hills, Los Angeles, California, USA"," Mary Astor
",https://www.imdb.com//name/nm0000802
1879-10-15,"Palmyra, Missouri, USA",1967-8-13,"Woodland Hills, Los Angeles, California, USA"," Jane Darwell
",https://www.imdb.com//name/nm0002034
1988-10-3,"Gothenburg, Västra Götalands län, Sweden",,," Alicia Vikander
",https://www.imdb.com//name/nm2539953
1989-10-25,"Canberra, Australian Capital Territory, Australia",,," Mia Wasikowska
",https://www.imdb.com//name/nm1985859
1996-4-14,"New York City, New York, USA",,," Abigail Breslin
",https://www.imdb.com//name/nm1113550
1899-2-15,"Litchfield, Minnesota, USA",1985-8-14,"Woodland Hills, California, USA"," Gale Sondergaard
",https://www.imdb.com//name/nm0814216
1970-8-26,"Plainfield, Illinois, USA",,," Melissa McCarthy
",https://www.imdb.com//name/nm0565250
1970-5-18,"Upper Darby, Pennsylvania, USA",,," Tina Fey
",https://www.imdb.com//name/nm0275486
1978-6-19,"Passaic, New Jersey, USA",,," Zoe Saldana
",https://www.imdb.com//name/nm0757855
1982-7-24,"Los Angeles, California, USA",,," Elisabeth Moss
",https://www.imdb.com//name/nm0005253
1983-5-6,"Toledo, Ohio, USA",,," Adrianne Palicki
",https://www.imdb.com//name/nm1597316
1972-4-17,"Houston, Texas, USA",,," Jennifer Garner
",https://www.imdb.com//name/nm0004950
1973-8-22,"Canandaigua, New York, USA",,," Kristen Wiig
",https://www.imdb.com//name/nm1325419
1929-11-6,"Vandalia, Illinois, USA",,," June Squibb
",https://www.imdb.com//name/nm0820053
1976-4-27,"Dulwich, London, England, UK",,," Sally Hawkins
",https://www.imdb.com//name/nm1020089
1985-11-30,"Camarillo, California, USA",,," Kaley Cuoco
",https://www.imdb.com//name/nm0192505
1968-9-28,"Shoreham, Kent, England, UK",,," Naomi Watts
",https://www.imdb.com//name/nm0915208
1986-5-13,"Barnes, London, England, UK",,," Robert Pattinson
",https://www.imdb.com//name/nm1500155
1980-4-10,"Newcastle upon Tyne, Tyne and Wear, England, UK",,," Charlie Hunnam
",https://www.imdb.com//name/nm0402271
1989-12-7,"Wokingham, Berkshire, England, UK",,," Nicholas Hoult
",https://www.imdb.com//name/nm0396558
1990-6-13,"High Wycombe, Buckinghamshire, England, UK",,," Aaron Taylor-Johnson
",https://www.imdb.com//name/nm1093951
1956-3-7,"Hollywood, California, USA",,," Bryan Cranston
",https://www.imdb.com//name/nm0186505
1969-11-13,"Paisley, Scotland, UK",,," Gerard Butler
",https://www.imdb.com//name/nm0124930
1973-9-12,"Glendale, California, USA",2013-11-30,"Valencia, Santa Clarita, California, USA"," Paul Walker
",https://www.imdb.com//name/nm0908094
1972-6-7,"Wellington, New Zealand",,," Karl Urban
",https://www.imdb.com//name/nm0881631
1992-1-19,"Beverly Hills, California, USA",,," Logan Lerman
",https://www.imdb.com//name/nm0503567
1985-6-12,"Palo Alto, California, USA",,," Dave Franco
",https://www.imdb.com//name/nm2002649
1981-2-9,"Westminster, London, England, UK",,," Tom Hiddleston
",https://www.imdb.com//name/nm1089991
1969-6-11,"Morristown, New Jersey, USA",,," Peter Dinklage
",https://www.imdb.com//name/nm0227759
1981-4-8,"Kelowna, British Columbia, Canada",,," Taylor Kitsch
",https://www.imdb.com//name/nm2018237
1969-8-18,"Boston, Massachusetts, USA",,," Edward Norton
",https://www.imdb.com//name/nm0001570
1967-10-5,"Ely, Cambridgeshire, England, UK",,," Guy Pearce
",https://www.imdb.com//name/nm0001602
1967-11-22,"Kenosha, Wisconsin, USA",,," Mark Ruffalo
",https://www.imdb.com//name/nm0749263
1952-9-16,"Schenectady, New York, USA",,," Mickey Rourke
",https://www.imdb.com//name/nm0000620
1938-1-1,"Bayonne, New Jersey, USA",,," Frank Langella
",https://www.imdb.com//name/nm0001449
1982-1-6,"London, England, UK",,," Eddie Redmayne
",https://www.imdb.com//name/nm1519666
1949-1-26,"San Francisco, California, USA",,," David Strathairn
",https://www.imdb.com//name/nm0000657
1969-3-11,"Chicago, Illinois, USA",,," Terrence Howard
",https://www.imdb.com//name/nm0005024
1962-12-22,"Ipswich, Suffolk, England, UK",,," Ralph Fiennes
",https://www.imdb.com//name/nm0000146
1948-2-5,"Leeds, West Yorkshire, England, UK",,," Tom Wilkinson
",https://www.imdb.com//name/nm0929489
1920-9-1,"Los Angeles, California, USA",2000-10-6,"Lincoln, New Mexico, USA"," Richard Farnsworth
",https://www.imdb.com//name/nm0002070
1941-2-8,"Omaha, Nebraska, USA",,," Nick Nolte
",https://www.imdb.com//name/nm0000560
1993-12-8,"Denver, Colorado, USA",,," AnnaSophia Robb
",https://www.imdb.com//name/nm1455681
1986-2-2,"Gravesend, Kent, England, UK",,," Gemma Arterton
",https://www.imdb.com//name/nm2605345
1984-3-10,"New York City, New York, USA",,," Olivia Wilde
",https://www.imdb.com//name/nm1312575
1976-2-3,"Muscat, Oman",,," Isla Fisher
",https://www.imdb.com//name/nm0279545
1991-11-15,"Simi Valley, California, USA",,," Shailene Woodley
",https://www.imdb.com//name/nm0940362
1980-3-2,"Sydney, New South Wales, Australia",,," Rebel Wilson
",https://www.imdb.com//name/nm2313103
1991-2-10,"Rhinebeck, New York, USA",,," Emma Roberts
",https://www.imdb.com//name/nm0731075
1986-4-22,"Austin, Texas, USA",,," Amber Heard
",https://www.imdb.com//name/nm1720028
1986-2-26,"Adelaide, South Australia, Australia",,," Teresa Palmer
",https://www.imdb.com//name/nm1954240
1994-4-12,"The Bronx, New York City, New York, USA",,," Saoirse Ronan
",https://www.imdb.com//name/nm1519680
1974-2-10,"Pittsfield, Massachusetts, USA",,," Elizabeth Banks
",https://www.imdb.com//name/nm0006969
1918-2-4,"Camberwell, London, England, UK",1995-8-3,"Los Angeles, California, USA"," Ida Lupino
",https://www.imdb.com//name/nm0526946
1982-2-11,"Reading, Berkshire, England, UK",,," Natalie Dormer
",https://www.imdb.com//name/nm1754059
1986-3-9,"Tampa, Florida, USA",,," Brittany Snow
",https://www.imdb.com//name/nm0811242
1983-2-27,"Bedford, New York, USA",,," Kate Mara
",https://www.imdb.com//name/nm0544718
1988-7-20,"Salt Lake City, Utah, USA",,," Julianne Hough
",https://www.imdb.com//name/nm2584600
1989-3-18,"Guildford, Surrey, England, UK",,," Lily Collins
",https://www.imdb.com//name/nm2934314
1982-4-3,"Vancouver, British Columbia, Canada",,," Cobie Smulders
",https://www.imdb.com//name/nm1130627
1982-2-6,"London, England, UK",,," Alice Eve
",https://www.imdb.com//name/nm1404408
1983-4-10,"San Francisco, California, USA",,," Jamie Chung
",https://www.imdb.com//name/nm1512166
1979-12-28,"Hudiksvall, Gävleborgs län, Sweden",,," Noomi Rapace
",https://www.imdb.com//name/nm0636426
1987-8-25,"Los Angeles, California, USA",,," Blake Lively
",https://www.imdb.com//name/nm0515116
1983-9-21,"Columbus, Ohio, USA",,," Maggie Grace
",https://www.imdb.com//name/nm1192254
1982-3-3,"Ely, Minnesota, USA",,," Jessica Biel
",https://www.imdb.com//name/nm0004754
1980-7-6,"Paris, France",,," Eva Green
",https://www.imdb.com//name/nm1200692
1940-2-23,"New York City, New York, USA",2019-8-16,"Los Angeles, California, USA"," Peter Fonda
",https://www.imdb.com//name/nm0001228
1961-7-23,"Midland, Texas, USA",,," Woody Harrelson
",https://www.imdb.com//name/nm0000437
1955-8-4,"Hot Springs, Arkansas, USA",,," Billy Bob Thornton
",https://www.imdb.com//name/nm0000671
1972-9-6,"Hackney, London, England, UK",,," Idris Elba
",https://www.imdb.com//name/nm0252961
1929-4-5,"Coventry, Warwickshire, England, UK",2001-12-26,"Radwell, Hertfordshire, England, UK"," Nigel Hawthorne
",https://www.imdb.com//name/nm0001329
1961-7-30,"Augusta, Georgia, USA",,," Laurence Fishburne
",https://www.imdb.com//name/nm0000401
1946-10-31,"Belfast, Northern Ireland, UK",,," Stephen Rea
",https://www.imdb.com//name/nm0001653
1937-3-30,"Richmond, Virginia, USA",,," Warren Beatty
",https://www.imdb.com//name/nm0000886
1930-10-1,"Limerick, Ireland",2002-10-25,"Bloomsbury, London, England, UK"," Richard Harris
",https://www.imdb.com//name/nm0001321
1966-6-28,"Evanston, Illinois, USA",,," John Cusack
",https://www.imdb.com//name/nm0000131
1960-12-10,"Belfast, Northern Ireland, UK",,," Kenneth Branagh
",https://www.imdb.com//name/nm0000110
1947-2-24,"Los Angeles, California, USA",,," Edward James Olmos
",https://www.imdb.com//name/nm0001579
1929-4-10,"Lund, Skåne län, Sweden",2020-3-8,"Seillans, Var, France"," Max von Sydow
",https://www.imdb.com//name/nm0001884
1936-6-4,"Chicago, Illinois, USA",,," Bruce Dern
",https://www.imdb.com//name/nm0001136
1942-10-26,"Bury St. Edmunds, Suffolk, England, UK",2014-4-29,"London, England, UK"," Bob Hoskins
",https://www.imdb.com//name/nm0001364
1947-4-18,"Vernal, Utah, USA",,," James Woods
",https://www.imdb.com//name/nm0000249
1959-9-11,"Alexandria, Minnesota, USA",,," John Hawkes
",https://www.imdb.com//name/nm0370035
1928-4-7,"Norman, Oklahoma, USA",2014-7-19,"Brentwood, Los Angeles, California, USA"," James Garner
",https://www.imdb.com//name/nm0001258
1940-11-15,"Cambridge, Massachusetts, USA",,," Sam Waterston
",https://www.imdb.com//name/nm0001832
1953-12-6,"Detroit, Michigan, USA",,," Tom Hulce
",https://www.imdb.com//name/nm0001371
1936-5-9,"Salford, Lancashire, England, UK",2019-2-7,"Chelsea, London, England, UK"," Albert Finney
",https://www.imdb.com//name/nm0001215
1941-11-22,"Paisley, Scotland, UK",,," Tom Conti
",https://www.imdb.com//name/nm0002018
1937-2-25,"Kingston-Upon-Hull, East Riding of Yorkshire, England, UK",,," Tom Courtenay
",https://www.imdb.com//name/nm0183822
1935-4-19,"Dagenham, Essex, England, UK",2002-3-27,"Plainfield, New Jersey, USA"," Dudley Moore
",https://www.imdb.com//name/nm0001545
1940-1-22,"Chesterfield, Derbyshire, England, UK",2017-1-25,"East Runton, Cromer, Norfolk, England, UK"," John Hurt
",https://www.imdb.com//name/nm0000457
1986-6-13,"Philadelphia, Pennsylvania, USA",,," Kat Dennings
",https://www.imdb.com//name/nm0993507
1982-7-18,"Jamshedpur, Bihar, India",,," Priyanka Chopra Jonas
",https://www.imdb.com//name/nm1231899
1927-2-24,"Cheniménil, Vosges, France",2017-1-27,"Paris, France"," Emmanuelle Riva
",https://www.imdb.com//name/nm0728938
1983-8-4,"Sacramento, California, USA",,," Greta Gerwig
",https://www.imdb.com//name/nm1950086
1989-10-1,"Sacramento, California, USA",,," Brie Larson
",https://www.imdb.com//name/nm0488953
1985-9-24,"Vancouver, British Columbia, Canada",,," Jessica Lucas
",https://www.imdb.com//name/nm1140300
1892-7-21,"Pantin, Seine [now Seine-Saint-Denis], France",1946-12-12,"Buenos Aires, Federal District, Argentina"," Maria Falconetti
",https://www.imdb.com//name/nm0266029
1904-9-29,"London, England, UK",1996-4-6,"Dallas, Texas, USA"," Greer Garson
",https://www.imdb.com//name/nm0002093
1907-6-4,"Waterbury, Connecticut, USA",1976-11-28,"Beverly Hills, Los Angeles, California, USA"," Rosalind Russell
",https://www.imdb.com//name/nm0751426
1940-9-5,"Chicago, Illinois, USA",,," Raquel Welch
",https://www.imdb.com//name/nm0000079
1958-3-9,"Philadelphia, Pennsylvania, USA",,," Linda Fiorentino
",https://www.imdb.com//name/nm0000400
1983-5-6,"Bedford-Stuyvesant, Brooklyn, New York City, New York, USA",,," Gabourey Sidibe
",https://www.imdb.com//name/nm2829737
1955-4-23,"Perth, Western Australia, Australia",,," Judy Davis
",https://www.imdb.com//name/nm0001114
1945-2-9,"Los Angeles, California, USA",,," Mia Farrow
",https://www.imdb.com//name/nm0001201
1976-8-9,"Beaumont, Puy-de-Dôme, France",,," Audrey Tautou
",https://www.imdb.com//name/nm0851582
1928-1-23,"Paris, France",2017-7-31,"Paris, France"," Jeanne Moreau
",https://www.imdb.com//name/nm0603402
1917-1-5,"St. Joseph, Missouri, USA",2007-9-10,"Palm Springs, California, USA"," Jane Wyman
",https://www.imdb.com//name/nm0943837
1930-6-19,"Madison, Wisconsin, USA",,," Gena Rowlands
",https://www.imdb.com//name/nm0001687
1956-3-12,"Brighton, East Sussex, England, UK",,," Lesley Manville
",https://www.imdb.com//name/nm0544334
1989-2-16,"Los Angeles, California, USA",,," Elizabeth Olsen
",https://www.imdb.com//name/nm0647634
1961-1-24,"Berlin, Germany",,," Nastassja Kinski
",https://www.imdb.com//name/nm0000176
1983-2-21,"Paris, France",,," Mélanie Laurent
",https://www.imdb.com//name/nm0491259
1963-8-9,"Newark, New Jersey, USA",2012-2-11,"Beverly Hills, California, USA"," Whitney Houston
",https://www.imdb.com//name/nm0001365
1962-12-9,"Bedford, New York, USA",,," Felicity Huffman
",https://www.imdb.com//name/nm0005031
1956-1-9,"Archway, London, England, UK",,," Imelda Staunton
",https://www.imdb.com//name/nm0001767
1979-3-9,"Guatemala City, Guatemala",,," Oscar Isaac
",https://www.imdb.com//name/nm1209966
1977-10-26,"Fort Collins, Colorado, USA",,," Jon Heder
",https://www.imdb.com//name/nm1417647
1987-2-20,"Downingtown, Pennsylvania, USA",,," Miles Teller
",https://www.imdb.com//name/nm1886602
1978-6-16,"Barcelona, Barcelona, Catalonia, Spain",,," Daniel Brühl
",https://www.imdb.com//name/nm0117709
1961-9-18,"Westwood, New Jersey, USA",2013-6-19,"Rome, Lazio, Italy"," James Gandolfini
",https://www.imdb.com//name/nm0001254
1987-2-9,"Santa Ana, California, USA",,," Michael B. Jordan
",https://www.imdb.com//name/nm0430107
1932-4-4,"New York City, New York, USA",1992-9-12,"Hollywood, Los Angeles, California, USA"," Anthony Perkins
",https://www.imdb.com//name/nm0000578
1963-3-20,"Blackpool, Lancashire, England, UK",,," David Thewlis
",https://www.imdb.com//name/nm0000667
1926-10-18,"Zoppot, Free City of Danzig [now Sopot, Pomorskie, Poland]",1991-11-23,"Lagunitas, California, USA"," Klaus Kinski
",https://www.imdb.com//name/nm0001428
1943-6-13,"Horsforth, Yorkshire, England, UK",,," Malcolm McDowell
",https://www.imdb.com//name/nm0000532
1957-2-19,"Hackney, London, England, UK",,," Ray Winstone
",https://www.imdb.com//name/nm0935653
1933-4-9,"Neuilly-sur-Seine, Seine [now Hauts-de-Seine, Île-de-France], France",,," Jean-Paul Belmondo
",https://www.imdb.com//name/nm0000901
1964-4-20,"Ruislip, London, England, UK",,," Andy Serkis
",https://www.imdb.com//name/nm0785227
1962-3-21,"New York City, New York, USA",,," Matthew Broderick
",https://www.imdb.com//name/nm0000111
1936-5-17,"Dodge City, Kansas, USA",2010-5-29,"Venice Beach, California, USA"," Dennis Hopper
",https://www.imdb.com//name/nm0000454
1955-4-6,"Jasper, Alabama, USA",,," Michael Rooker
",https://www.imdb.com//name/nm0740264
1961-4-11,"Buffalo, New York, USA",,," Vincent Gallo
",https://www.imdb.com//name/nm0001252
1959-7-26,"South Orange, New Jersey, USA",,," Kevin Spacey
",https://www.imdb.com//name/nm0000228
1966-11-23,"Paris, France",,," Vincent Cassel
",https://www.imdb.com//name/nm0001993
1955-1-9,"Grosse Pointe, Michigan, USA",,," J.K. Simmons
",https://www.imdb.com//name/nm0799777
1887-11-23,"Camberwell, London, England, UK",1969-2-2,"Midhurst, Sussex, England, UK"," Boris Karloff
",https://www.imdb.com//name/nm0000472
1904-6-26,"Rózsahegy, Austria-Hungary [now Ruzomberok, Slovakia]",1964-3-23,"Los Angeles, California, USA"," Peter Lorre
",https://www.imdb.com//name/nm0000048
1969-11-4,"Uvalde, Texas, USA",,," Matthew McConaughey
",https://www.imdb.com//name/nm0000190
1973-9-5,"Burton-on-Trent, Staffordshire, England, UK",,," Paddy Considine
",https://www.imdb.com//name/nm0175916
1974-9-10,"New Castle, Delaware, USA",,," Ryan Phillippe
",https://www.imdb.com//name/nm0000202
1977-1-31,"The Bronx, New York City, New York, USA",,," Kerry Washington
",https://www.imdb.com//name/nm0913488
1967-8-21,"Vancouver, British Columbia, Canada",,," Carrie-Anne Moss
",https://www.imdb.com//name/nm0005251
1927-7-6,"Merced, California, USA",2004-10-3,"Beverly Hills, Los Angeles, California, USA"," Janet Leigh
",https://www.imdb.com//name/nm0001463
1981-4-19,"Bogotá, Colombia",,," Catalina Sandino Moreno
",https://www.imdb.com//name/nm1503432
1977-5-13,"Nottingham, Nottinghamshire, England, UK",,," Samantha Morton
",https://www.imdb.com//name/nm0608090
1990-3-24,"Donnybrook, Western Australia, Australia",,," Keisha Castle-Hughes
",https://www.imdb.com//name/nm1095720
1907-7-16,"Brooklyn, New York City, New York, USA",1990-1-20,"Santa Monica, California, USA"," Barbara Stanwyck
",https://www.imdb.com//name/nm0001766
1956-8-20,"Rochelle, Illinois, USA",,," Joan Allen
",https://www.imdb.com//name/nm0000260
1961-8-5,"Newcastle, Tyne and Wear, England, UK",,," Janet McTeer
",https://www.imdb.com//name/nm0005216
1929-10-16,"Rio de Janeiro, Rio de Janeiro, Brazil",,," Fernanda Montenegro
",https://www.imdb.com//name/nm0005244
1960-5-24,"Redruth, Cornwall, England, UK",,," Kristin Scott Thomas
",https://www.imdb.com//name/nm0000218
1946-2-20,"Ramsgate, Kent, England, UK",,," Brenda Blethyn
",https://www.imdb.com//name/nm0000950
1963-10-6,"Wilmington, Delaware, USA",,," Elisabeth Shue
",https://www.imdb.com//name/nm0000223
1958-3-3,"Southport, Lancashire, England, UK",,," Miranda Richardson
",https://www.imdb.com//name/nm0001669
1944-2-13,"New York City, New York, USA",,," Stockard Channing
",https://www.imdb.com//name/nm0000330
1910-1-12,"Düsseldorf, Germany",2014-12-30,"Belgravia, London, England, UK"," Luise Rainer
",https://www.imdb.com//name/nm0707023
1952-4-28,"Wilkes-Barre, Pennsylvania, USA",,," Mary McDonnell
",https://www.imdb.com//name/nm0001521
1911-8-6,"Jamestown, New York, USA",1989-4-26,"Beverly Hills, California, USA"," Lucille Ball
",https://www.imdb.com//name/nm0000840
1967-2-10,"Saint John's Health Center, Santa Monica, Los Angeles County, California, USA",,," Laura Dern
",https://www.imdb.com//name/nm0000368
1940-9-3,"Exmouth, Devon, England, UK",,," Pauline Collins
",https://www.imdb.com//name/nm0172604
1955-6-27,"Paris, France",,," Isabelle Adjani
",https://www.imdb.com//name/nm0000254
1957-8-9,"New York City, New York, USA",,," Melanie Griffith
",https://www.imdb.com//name/nm0000429
1941-10-31,"New York City, New York, USA",,," Sally Kirkland
",https://www.imdb.com//name/nm0000476
1939-10-28,"Boston, Massachusetts, USA",,," Jane Alexander
",https://www.imdb.com//name/nm0000737
1942-4-3,"St. Louis, Missouri, USA",,," Marsha Mason
",https://www.imdb.com//name/nm0556850
1992-2-14,"Camden Town, London, England, UK",,," Freddie Highmore
",https://www.imdb.com//name/nm0383603
1961-6-9,"Edmonton, Alberta, Canada",,," Michael J. Fox
",https://www.imdb.com//name/nm0000150
1954-2-18,"Englewood, New Jersey, USA",,," John Travolta
",https://www.imdb.com//name/nm0000237
1955-5-18,"Lamma Island, Hong Kong",,," Chow Yun-Fat
",https://www.imdb.com//name/nm0000334
1973-10-26,"Kent, Connecticut, USA",,," Seth MacFarlane
",https://www.imdb.com//name/nm0532235
1963-4-26,"Beijing, China",,," Jet Li
",https://www.imdb.com//name/nm0001472
1902-9-22,"Bucharest, Romania",1988-10-31,"Malibu, California, USA"," John Houseman
",https://www.imdb.com//name/nm0002144
1940-3-10,"Ryan, Oklahoma, USA",,," Chuck Norris
",https://www.imdb.com//name/nm0001569
1960-10-18,"Berchem-Sainte-Agathe, Brussels, Belgium",,," Jean-Claude Van Damme
",https://www.imdb.com//name/nm0000241
1968-11-5,"Daly City, California, USA",,," Sam Rockwell
",https://www.imdb.com//name/nm0005377
1905-3-12,"Ikuno, Hyogo, Japan",1982-2-11,"Tokyo, Japan"," Takashi Shimura
",https://www.imdb.com//name/nm0793766
1957-5-5,"Mbabane, Hhohho, Eswatini",,," Richard E. Grant
",https://www.imdb.com//name/nm0001290
1926-2-11,"Regina, Saskatchewan, Canada",2010-11-28,"Fort Lauderdale, Florida, USA"," Leslie Nielsen
",https://www.imdb.com//name/nm0000558
1970-2-14,"Gloucester, Gloucestershire, England, UK",,," Simon Pegg
",https://www.imdb.com//name/nm0670408
1953-12-9,"Christopher, Illinois, USA",,," John Malkovich
",https://www.imdb.com//name/nm0000518
1974-8-7,"Lexington, Kentucky, USA",,," Michael Shannon
",https://www.imdb.com//name/nm0788335
1940-8-3,"Dayton, Ohio, USA",,," Martin Sheen
",https://www.imdb.com//name/nm0000640
1948-2-5,"New York City, New York, USA",,," Christopher Guest
",https://www.imdb.com//name/nm0001302
1946-2-21,"Hammersmith, London, England, UK",2016-1-14,"London, England, UK"," Alan Rickman
",https://www.imdb.com//name/nm0000614
1961-7-14,"Northridge, California, USA",,," Jackie Earle Haley
",https://www.imdb.com//name/nm0355097
1913-11-4,"St. Cloud, Minnesota, USA",1978-10-19,"New York City, New York, USA"," Gig Young
",https://www.imdb.com//name/nm0949574
1960-2-7,"Boston, Massachusetts, USA",,," James Spader
",https://www.imdb.com//name/nm0000652
1968-8-9,"Melbourne, Victoria, Australia",,," Eric Bana
",https://www.imdb.com//name/nm0051509
1974-5-28,"Paris, France",,," Romain Duris
",https://www.imdb.com//name/nm0244151
1927-8-9,"Westhoughton, Lancashire, England, UK",1978-8-28,"Tourmakeady, County Mayo, Ireland"," Robert Shaw
",https://www.imdb.com//name/nm0001727
1947-5-25,"Sydney, New South Wales, Australia",,," Jacki Weaver
",https://www.imdb.com//name/nm0915865
1976-7-7,"Buenos Aires, Argentina",,," Bérénice Bejo
",https://www.imdb.com//name/nm0067367
1996-12-11,"Tarzana, Los Angeles, California, USA",,," Hailee Steinfeld
",https://www.imdb.com//name/nm2794962
1962-2-5,"Hollywood, Los Angeles, California, USA",,," Jennifer Jason Leigh
",https://www.imdb.com//name/nm0000492
1954-11-19,"Pasadena, California, USA",,," Kathleen Quinlan
",https://www.imdb.com//name/nm0000599
1970-9-11,"Washington D.C., USA",,," Taraji P. Henson
",https://www.imdb.com//name/nm0378245
1968-5-3,"Queens, New York City, New York, USA",,," Amy Ryan
",https://www.imdb.com//name/nm0752407
1922-10-27,"Cleveland, Ohio, USA",2014-6-11,"New Rochelle, New York, USA"," Ruby Dee
",https://www.imdb.com//name/nm0002039
1944-4-30,"New York City, New York, USA",2010-11-5,"Lakeville, Connecticut, USA"," Jill Clayburgh
",https://www.imdb.com//name/nm0001049
1956-3-5,"Toluca, Estado de Mexico, Mexico",,," Adriana Barraza
",https://www.imdb.com//name/nm0056770
1981-1-6,"Hadano, Japan",,," Rinko Kikuchi
",https://www.imdb.com//name/nm0452860
1959-3-23,"Miami, Florida, USA",,," Catherine Keener
",https://www.imdb.com//name/nm0001416
1946-2-5,"Sturmer, Essex, England, UK",,," Charlotte Rampling
",https://www.imdb.com//name/nm0001648
1968-8-11,"London, England, UK",,," Sophie Okonedo
",https://www.imdb.com//name/nm0645683
1959-12-29,"New Orleans, Louisiana, USA",,," Patricia Clarkson
",https://www.imdb.com//name/nm0165101
1952-5-11,"Tehran, Iran",,," Shohreh Aghdashloo
",https://www.imdb.com//name/nm0013037
1986-7-2,"The Bronx, New York City, New York, USA",,," Lindsay Lohan
",https://www.imdb.com//name/nm0517820
1985-10-11,"New York City, New York, USA",,," Michelle Trachtenberg
",https://www.imdb.com//name/nm0005502
1974-11-18,"Springfield, Massachusetts, USA",,," Chloë Sevigny
",https://www.imdb.com//name/nm0001721
1943-3-8,"Marylebone, London, England, UK",2010-5-2,"Kent, Connecticut, USA"," Lynn Redgrave
",https://www.imdb.com//name/nm0001655
1968-12-18,"Melbourne, Victoria, Australia",,," Rachel Griffiths
",https://www.imdb.com//name/nm0341737
1990-7-2,"Dalby, Queensland, Australia",,," Margot Robbie
",https://www.imdb.com//name/nm3053338
1967-2-20,"Glencoe, Illinois, USA",,," Lili Taylor
",https://www.imdb.com//name/nm0000666
1969-7-7,"Washington, District of Columbia, USA",,," Robin Weigert
",https://www.imdb.com//name/nm0917848
1979-3-24,"New York City, New York, USA",,," Lake Bell
",https://www.imdb.com//name/nm1128572
1889-11-10,"Clapham, London, England, UK",1967-5-30,"Laconia, New Hampshire, USA"," Claude Rains
",https://www.imdb.com//name/nm0001647
1957-12-13,"Brooklyn, New York City, New York, USA",,," Steve Buscemi
",https://www.imdb.com//name/nm0000114
1944-5-5,"Ammanford, Wales, UK",,," John Rhys-Davies
",https://www.imdb.com//name/nm0722636
1930-12-11,"Piolenc, Vaucluse, France",,," Jean-Louis Trintignant
",https://www.imdb.com//name/nm0004462
1905-5-15,"Petersburg, Virginia, USA",1994-2-6,"Westwood, Los Angeles, California, USA"," Joseph Cotten
",https://www.imdb.com//name/nm0001072
1970-4-4,"Campbell River, British Columbia, Canada",,," Barry Pepper
",https://www.imdb.com//name/nm0001608
1885-9-22,"Vienna, Austria-Hungary [now Austria]",1957-5-12,"Maurepas, Seine-et-Oise [now Yvelines], France"," Erich von Stroheim
",https://www.imdb.com//name/nm0002233
1973-7-3,"Norfolk, Virginia, USA",,," Patrick Wilson
",https://www.imdb.com//name/nm0933940
1938-10-22,"Stamford, Connecticut, USA",,," Christopher Lloyd
",https://www.imdb.com//name/nm0000502
1980-10-29,"Boston, Massachusetts, USA",,," Ben Foster
",https://www.imdb.com//name/nm0004936
