Name,Birth Date,Birth Date(Date Time),Birth Place,Death Date,Death Date(Date Time),Death Place,URL,Age
 Marie Dressler,1868-11-9,1868-11-09,"Cobourg, Ontario, Canada",1934-7-28,1934-07-28,"Santa Barbara, California, USA",https://www.imdb.com//name/nm0237597,65
 Janet Gaynor,1906-10-6,1906-10-06,"Philadelphia, Pennsylvania, USA",1984-9-14,1984-09-14,"Palm Springs, California, USA",https://www.imdb.com//name/nm0310980,77
 Lupita Nyong'o,1983-3-1,1983-03-01,"Mexico City, Distrito Federal, Mexico",,,,https://www.imdb.com//name/nm2143282,38
 Octavia Spencer,1970-5-25,1970-05-25,"Montgomery, Alabama, USA",,,,https://www.imdb.com//name/nm0818055,51
 Melissa Leo,1960-9-14,1960-09-14,"New York City, New York, USA",,,,https://www.imdb.com//name/nm0502425,60
 Mo'Nique,1967-12-11,1967-12-11,"Woodlawn, Maryland, USA",,,,https://www.imdb.com//name/nm0594898,53
 Marlee Matlin,1965-8-24,1965-08-24,"Morton Grove, Illinois, USA",,,,https://www.imdb.com//name/nm0559144,55
 Tilda Swinton,1960-11-5,1960-11-05,"London, England, UK",,,,https://www.imdb.com//name/nm0842770,60
 Jennifer Hudson,1981-9-12,1981-09-12,"Chicago, Illinois, USA",,,,https://www.imdb.com//name/nm1617685,39
 Renée Zellweger,1969-4-25,1969-04-25,"Katy, Texas, USA",,,,https://www.imdb.com//name/nm0000250,52
 Marcia Gay Harden,1959-8-14,1959-08-14,"La Jolla, California, USA",,,,https://www.imdb.com//name/nm0001315,61
 Anna Paquin,1982-7-24,1982-07-24,"Winnipeg, Manitoba, Canada",,,,https://www.imdb.com//name/nm0001593,39
 Marisa Tomei,1964-12-4,1964-12-04,"Brooklyn, New York City, New York, USA",,,,https://www.imdb.com//name/nm0000673,56
 Mercedes Ruehl,1948-2-28,1948-02-28,"Queens, New York City, New York, USA",,,,https://www.imdb.com//name/nm0001689,73
 Brenda Fricker,1945-2-17,1945-02-17,"Dublin, Ireland",,,,https://www.imdb.com//name/nm0002084,76
 Jean Reno,1948-7-30,1948-07-30,"Casablanca, French Protectorate of Morocco [now Morocco]",,,,https://www.imdb.com//name/nm0000606,73
 George Sanders,1906-7-3,1906-07-03,"St. Petersburg, Russian Empire [now Russia]",1972-4-25,1972-04-25,"Castelldefels, Barcelona, Catalonia, Spain",https://www.imdb.com//name/nm0001695,65
 Dean Jagger,1903-11-7,1903-11-07,"Columbus Grove, Ohio, USA",1991-2-5,1991-02-05,"Santa Monica, California, USA",https://www.imdb.com//name/nm0415591,87
 Walter Huston,1883-4-5,1883-04-05,"Toronto, Ontario, Canada",1950-4-7,1950-04-07,"Hollywood, Los Angeles, California, USA",https://www.imdb.com//name/nm0404158,67
 Edmund Gwenn,1877-9-26,1877-09-26,"Wandsworth, London, England, UK",1959-9-6,1959-09-06,"Woodland Hills, Los Angeles, California, USA",https://www.imdb.com//name/nm0350324,81
 Harold Russell,1914-1-14,1914-01-14,"North Sydney, Nova Scotia, Canada",2002-1-29,2002-01-29,"Needham, Massachusetts, USA",https://www.imdb.com//name/nm0751174,88
 Hugh Grant,1960-9-9,1960-09-09,"Hammersmith, London, England, UK",,,,https://www.imdb.com//name/nm0000424,60
 Barry Fitzgerald,1888-3-10,1888-03-10,"Dublin, Ireland",1961-1-14,1961-01-14,"Dublin, Ireland",https://www.imdb.com//name/nm0280178,72
 Charles Coburn,1877-6-19,1877-06-19,"Savannah, Georgia, USA",1961-8-30,1961-08-30,"New York City, New York, USA",https://www.imdb.com//name/nm0002013,84
 Van Heflin,1908-12-13,1908-12-13,"Walters, Oklahoma, USA",1971-7-23,1971-07-23,"Hollywood, Los Angeles, California, USA",https://www.imdb.com//name/nm0001336,62
 Donald Crisp,1882-7-27,1882-07-27,"Bow, London, England, UK",1974-5-25,1974-05-25,"Van Nuys, California, USA",https://www.imdb.com//name/nm0187981,91
 Thomas Mitchell,1892-7-11,1892-07-11,"Elizabeth, New Jersey, USA",1962-12-17,1962-12-17,"Beverly Hills, Los Angeles, California, USA",https://www.imdb.com//name/nm0593775,70
 Walter Brennan,1894-7-25,1894-07-25,"Lynn, Massachusetts, USA",1974-9-21,1974-09-21,"Oxnard, California, USA",https://www.imdb.com//name/nm0000974,80
 Joseph Schildkraut,1896-3-22,1896-03-22,"Vienna, Austria-Hungary [now Austria]",1964-1-21,1964-01-21,"New York City, New York, USA",https://www.imdb.com//name/nm0771584,67
 Keanu Reeves,1964-9-2,1964-09-02,"Beirut, Lebanon",,,,https://www.imdb.com//name/nm0000206,56
 Channing Tatum,1980-4-26,1980-04-26,"Cullman, Alabama, USA",,,,https://www.imdb.com//name/nm1475594,41
 Hugh Jackman,1968-10-12,1968-10-12,"Sydney, New South Wales, Australia",,,,https://www.imdb.com//name/nm0413168,52
 Dwayne Johnson,1972-5-2,1972-05-02,"Hayward, California, USA",,,,https://www.imdb.com//name/nm0425005,49
 Adam Sandler,1966-9-9,1966-09-09,"Brooklyn, New York City, New York, USA",,,,https://www.imdb.com//name/nm0001191,54
 Daniel Radcliffe,1989-7-23,1989-07-23,"Fulham, London, England, UK",,,,https://www.imdb.com//name/nm0705356,32
 Daniel Craig,1968-3-2,1968-03-02,"Chester, Cheshire, England, UK",,,,https://www.imdb.com//name/nm0185819,53
 Henry Cavill,1983-5-5,1983-05-05,"Jersey, Channel Islands",,,,https://www.imdb.com//name/nm0147147,38
 Vin Diesel,1967-7-18,1967-07-18,"Alameda County, California, USA",,,,https://www.imdb.com//name/nm0004874,54
 Ben Affleck,1972-8-15,1972-08-15,"Berkeley, California, USA",,,,https://www.imdb.com//name/nm0000255,48
 Chris Pine,1980-8-26,1980-08-26,"Los Angeles, California, USA",,,,https://www.imdb.com//name/nm1517976,40
 Olympia Dukakis,1931-6-20,1931-06-20,"Lowell, Massachusetts, USA",2021-5-1,2021-05-01,"Manhattan, New York City, New York, USA",https://www.imdb.com//name/nm0001156,89
 Peggy Ashcroft,1907-12-22,1907-12-22,"Croydon, Surrey, England, UK",1991-6-14,1991-06-14,"Hampstead, London, England, UK",https://www.imdb.com//name/nm0001919,83
 Linda Hunt,1945-4-2,1945-04-02,"Morristown, New Jersey, USA",,,,https://www.imdb.com//name/nm0001373,76
 Maureen Stapleton,1925-6-21,1925-06-21,"Troy, New York, USA",2006-3-13,2006-03-13,"Lenox, Massachusetts, USA",https://www.imdb.com//name/nm0822972,80
 Mary Steenburgen,1953-2-8,1953-02-08,"Newport, Arkansas, USA",,,,https://www.imdb.com//name/nm0005460,68
 Beatrice Straight,1914-8-2,1914-08-02,"Old Westbury, New York, USA",2001-4-7,2001-04-07,"Los Angeles, California, USA",https://www.imdb.com//name/nm0833152,86
 Vanessa Redgrave,1937-1-30,1937-01-30,"Blackheath, London, England, UK",,,,https://www.imdb.com//name/nm0000603,84
 Lee Grant,1925-10-31,1925-10-31,"New York City, New York, USA",,,,https://www.imdb.com//name/nm0335519,95
 Eileen Heckart,1919-3-29,1919-03-29,"Columbus, Ohio, USA",2001-12-31,2001-12-31,"Norwalk, Connecticut, USA",https://www.imdb.com//name/nm0373012,82
 Cloris Leachman,1926-4-30,1926-04-30,"Des Moines, Iowa, USA",2021-1-27,2021-01-27,"Encinitas, California, USA",https://www.imdb.com//name/nm0001458,94
 Ruth Gordon,1896-10-30,1896-10-30,"Quincy, Massachusetts, USA",1985-8-28,1985-08-28,"Edgartown, Massachusetts, USA",https://www.imdb.com//name/nm0002106,88
 Estelle Parsons,1927-11-20,1927-11-20,"Marblehead, Massachusetts, USA",,,,https://www.imdb.com//name/nm0663820,93
 Sandy Dennis,1937-4-27,1937-04-27,"Hastings, Nebraska, USA",1992-3-2,1992-03-02,"Westport, Connecticut, USA",https://www.imdb.com//name/nm0006800,54
 Shelley Winters,1920-8-18,1920-08-18,"St. Louis, Missouri, USA",2006-1-14,2006-01-14,"Beverly Hills, Los Angeles, California, USA",https://www.imdb.com//name/nm0001859,85
 Maggie Gyllenhaal,1977-11-16,1977-11-16,"Lower East Side, Manhattan, New York City, New York, USA",,,,https://www.imdb.com//name/nm0350454,43
 Katie Holmes,1978-12-18,1978-12-18,"Toledo, Ohio, USA",,,,https://www.imdb.com//name/nm0005017,42
 Patty Duke,1946-12-14,1946-12-14,"Queens, New York City, New York, USA",2016-3-29,2016-03-29,"Coeur d'Alene, Idaho, USA",https://www.imdb.com//name/nm0001157,69
 Rita Moreno,1931-12-11,1931-12-11,"Humacao, Puerto Rico",,,,https://www.imdb.com//name/nm0001549,89
 Wendy Hiller,1912-8-15,1912-08-15,"Bramhall, Cheshire, England, UK",2003-5-14,2003-05-14,"Beaconsfield, Buckinghamshire, England, UK",https://www.imdb.com//name/nm0384908,90
 Miyoshi Umeki,1929-5-8,1929-05-08,"Otaru, Hokkaido, Japan",2007-8-28,2007-08-28,"Licking, Missouri, USA",https://www.imdb.com//name/nm0880855,78
 Dorothy Malone,1924-1-29,1924-01-29,"Chicago, Illinois, USA",2018-1-19,2018-01-19,"Dallas, Texas, USA",https://www.imdb.com//name/nm0540416,93
 Jo Van Fleet,1915-12-29,1915-12-29,"Oakland, California, USA",1996-6-10,1996-06-10,"Queens, New York City, New York, USA",https://www.imdb.com//name/nm0886888,80
 Eva Marie Saint,1924-7-4,1924-07-04,"Newark, New Jersey, USA",,,,https://www.imdb.com//name/nm0001693,97
 Gloria Grahame,1923-11-28,1923-11-28,"Los Angeles, California, USA",1981-10-5,1981-10-05,"New York City, New York, USA",https://www.imdb.com//name/nm0002108,57
 Kim Hunter,1922-11-12,1922-11-12,"Detroit, Michigan, USA",2002-9-11,2002-09-11,"New York City, New York, USA",https://www.imdb.com//name/nm0001375,79
 Lee J. Cobb,1911-12-8,1911-12-08,"New York City, New York, USA",1976-2-11,1976-02-11,"Woodland Hills, Los Angeles, California, USA",https://www.imdb.com//name/nm0002011,64
 Andrew Garfield,1983-8-20,1983-08-20,"Los Angeles, California, USA",,,,https://www.imdb.com//name/nm1940449,37
 John Cazale,1935-8-12,1935-08-12,"Boston, Massachusetts, USA",1978-3-13,1978-03-13,"New York City, New York, USA",https://www.imdb.com//name/nm0001030,42
 Jeremy Renner,1971-1-7,1971-01-07,"Modesto, California, USA",,,,https://www.imdb.com//name/nm0719637,50
 Steve Carell,1962-8-16,1962-08-16,"Concord, Massachusetts, USA",,,,https://www.imdb.com//name/nm0136797,58
 Jean Dujardin,1972-6-19,1972-06-19,"Rueil-Malmaison, Hauts-de-Seine, France",,,,https://www.imdb.com//name/nm0241121,49
 Chris Evans,1981-6-13,1981-06-13,"Boston, Massachusetts, USA",,,,https://www.imdb.com//name/nm0262635,40
 James Franco,1978-4-19,1978-04-19,"Palo Alto, California, USA",,,,https://www.imdb.com//name/nm0290556,43
 Zach Galifianakis,1969-10-1,1969-10-01,"Wilkesboro, North Carolina, USA",,,,https://www.imdb.com//name/nm0302108,51
 Will Ferrell,1967-7-16,1967-07-16,"Irvine, California, USA",,,,https://www.imdb.com//name/nm0002071,54
 Shia LaBeouf,1986-6-11,1986-06-11,"Los Angeles, California, USA",,,,https://www.imdb.com//name/nm0479471,35
 Seth Rogen,1982-4-15,1982-04-15,"Vancouver, British Columbia, Canada",,,,https://www.imdb.com//name/nm0736622,39
 Joseph Gordon-Levitt,1981-2-17,1981-02-17,"Los Angeles, California, USA",,,,https://www.imdb.com//name/nm0330687,40
 Ryan Reynolds,1976-10-23,1976-10-23,"Vancouver, British Columbia, Canada",,,,https://www.imdb.com//name/nm0005351,44
 Paul Rudd,1969-4-6,1969-04-06,"Passaic, New Jersey, USA",,,,https://www.imdb.com//name/nm0748620,52
 Jason Segel,1980-1-18,1980-01-18,"Los Angeles, California, USA",,,,https://www.imdb.com//name/nm0781981,41
 Jason Statham,1967-7-26,1967-07-26,"Shirebrook, Derbyshire, England, UK",,,,https://www.imdb.com//name/nm0005458,54
 Dick Van Dyke,1925-12-13,1925-12-13,"West Plains, Missouri, USA",,,,https://www.imdb.com//name/nm0001813,95
 Jesse Eisenberg,1983-10-5,1983-10-05,"New York City, New York, USA",,,,https://www.imdb.com//name/nm0251986,37
 Owen Wilson,1968-11-18,1968-11-18,"Dallas, Texas, USA",,,,https://www.imdb.com//name/nm0005562,52
 Jason Bateman,1969-1-14,1969-01-14,"Rye, New York, USA",,,,https://www.imdb.com//name/nm0000867,52
 Tyler Perry,1969-9-14,1969-09-14,"New Orleans, Louisiana, USA",,,,https://www.imdb.com//name/nm1347153,51
 Liam Hemsworth,1990-1-13,1990-01-13,"Melbourne, Victoria, Australia",,,,https://www.imdb.com//name/nm2955013,31
 William Shatner,1931-3-22,1931-03-22,"Montreal, Quebec, Canada",,,,https://www.imdb.com//name/nm0000638,90
 Gene Wilder,1933-6-11,1933-06-11,"Milwaukee, Wisconsin, USA",2016-8-29,2016-08-29,"Stamford, Connecticut, USA",https://www.imdb.com//name/nm0000698,83
 Thora Birch,1982-3-11,1982-03-11,"Los Angeles, California, USA",,,,https://www.imdb.com//name/nm0000301,39
 Claire Trevor,1910-3-8,1910-03-08,"New York City, New York, USA",2000-4-8,2000-04-08,"Newport Beach, California, USA",https://www.imdb.com//name/nm0872456,90
 Celeste Holm,1917-4-29,1917-04-29,"Brooklyn, New York City, New York, USA",2012-7-15,2012-07-15,"Manhattan, New York City, New York, USA",https://www.imdb.com//name/nm0002141,95
 Anne Baxter,1923-5-7,1923-05-07,"Michigan City, Indiana, USA",1985-12-12,1985-12-12,"New York City, New York, USA",https://www.imdb.com//name/nm0000879,62
 Queen Latifah,1970-3-18,1970-03-18,"Newark, New Jersey, USA",,,,https://www.imdb.com//name/nm0001451,51
 Ethel Barrymore,1879-8-15,1879-08-15,"Philadelphia, Pennsylvania, USA",1959-6-18,1959-06-18,"Beverly Hills, California, USA",https://www.imdb.com//name/nm0000856,79
 Rosario Dawson,1979-5-9,1979-05-09,"New York City, New York, USA",,,,https://www.imdb.com//name/nm0206257,42
 Teresa Wright,1918-10-27,1918-10-27,"Manhattan, New York City, New York, USA",2005-3-6,2005-03-06,"New Haven, Connecticut, USA",https://www.imdb.com//name/nm0942863,86
 Mary Astor,1906-5-3,1906-05-03,"Quincy, Illinois, USA",1987-9-25,1987-09-25,"Woodland Hills, Los Angeles, California, USA",https://www.imdb.com//name/nm0000802,81
 Jane Darwell,1879-10-15,1879-10-15,"Palmyra, Missouri, USA",1967-8-13,1967-08-13,"Woodland Hills, Los Angeles, California, USA",https://www.imdb.com//name/nm0002034,87
 Alicia Vikander,1988-10-3,1988-10-03,"Gothenburg, Västra Götalands län, Sweden",,,,https://www.imdb.com//name/nm2539953,32
 Mia Wasikowska,1989-10-25,1989-10-25,"Canberra, Australian Capital Territory, Australia",,,,https://www.imdb.com//name/nm1985859,31
 Abigail Breslin,1996-4-14,1996-04-14,"New York City, New York, USA",,,,https://www.imdb.com//name/nm1113550,25
 Gale Sondergaard,1899-2-15,1899-02-15,"Litchfield, Minnesota, USA",1985-8-14,1985-08-14,"Woodland Hills, California, USA",https://www.imdb.com//name/nm0814216,86
 Melissa McCarthy,1970-8-26,1970-08-26,"Plainfield, Illinois, USA",,,,https://www.imdb.com//name/nm0565250,50
 Tina Fey,1970-5-18,1970-05-18,"Upper Darby, Pennsylvania, USA",,,,https://www.imdb.com//name/nm0275486,51
 Zoe Saldana,1978-6-19,1978-06-19,"Passaic, New Jersey, USA",,,,https://www.imdb.com//name/nm0757855,43
 Elisabeth Moss,1982-7-24,1982-07-24,"Los Angeles, California, USA",,,,https://www.imdb.com//name/nm0005253,39
 Adrianne Palicki,1983-5-6,1983-05-06,"Toledo, Ohio, USA",,,,https://www.imdb.com//name/nm1597316,38
 Jennifer Garner,1972-4-17,1972-04-17,"Houston, Texas, USA",,,,https://www.imdb.com//name/nm0004950,49
 Kristen Wiig,1973-8-22,1973-08-22,"Canandaigua, New York, USA",,,,https://www.imdb.com//name/nm1325419,47
 June Squibb,1929-11-6,1929-11-06,"Vandalia, Illinois, USA",,,,https://www.imdb.com//name/nm0820053,91
 Sally Hawkins,1976-4-27,1976-04-27,"Dulwich, London, England, UK",,,,https://www.imdb.com//name/nm1020089,45
 Kaley Cuoco,1985-11-30,1985-11-30,"Camarillo, California, USA",,,,https://www.imdb.com//name/nm0192505,35
 Naomi Watts,1968-9-28,1968-09-28,"Shoreham, Kent, England, UK",,,,https://www.imdb.com//name/nm0915208,52
 Robert Pattinson,1986-5-13,1986-05-13,"Barnes, London, England, UK",,,,https://www.imdb.com//name/nm1500155,35
 Charlie Hunnam,1980-4-10,1980-04-10,"Newcastle upon Tyne, Tyne and Wear, England, UK",,,,https://www.imdb.com//name/nm0402271,41
 Nicholas Hoult,1989-12-7,1989-12-07,"Wokingham, Berkshire, England, UK",,,,https://www.imdb.com//name/nm0396558,31
 Aaron Taylor-Johnson,1990-6-13,1990-06-13,"High Wycombe, Buckinghamshire, England, UK",,,,https://www.imdb.com//name/nm1093951,31
 Bryan Cranston,1956-3-7,1956-03-07,"Hollywood, California, USA",,,,https://www.imdb.com//name/nm0186505,65
 Gerard Butler,1969-11-13,1969-11-13,"Paisley, Scotland, UK",,,,https://www.imdb.com//name/nm0124930,51
 Paul Walker,1973-9-12,1973-09-12,"Glendale, California, USA",2013-11-30,2013-11-30,"Valencia, Santa Clarita, California, USA",https://www.imdb.com//name/nm0908094,40
 Karl Urban,1972-6-7,1972-06-07,"Wellington, New Zealand",,,,https://www.imdb.com//name/nm0881631,49
 Logan Lerman,1992-1-19,1992-01-19,"Beverly Hills, California, USA",,,,https://www.imdb.com//name/nm0503567,29
 Dave Franco,1985-6-12,1985-06-12,"Palo Alto, California, USA",,,,https://www.imdb.com//name/nm2002649,36
 Tom Hiddleston,1981-2-9,1981-02-09,"Westminster, London, England, UK",,,,https://www.imdb.com//name/nm1089991,40
 Peter Dinklage,1969-6-11,1969-06-11,"Morristown, New Jersey, USA",,,,https://www.imdb.com//name/nm0227759,52
 Taylor Kitsch,1981-4-8,1981-04-08,"Kelowna, British Columbia, Canada",,,,https://www.imdb.com//name/nm2018237,40
 Edward Norton,1969-8-18,1969-08-18,"Boston, Massachusetts, USA",,,,https://www.imdb.com//name/nm0001570,51
 Guy Pearce,1967-10-5,1967-10-05,"Ely, Cambridgeshire, England, UK",,,,https://www.imdb.com//name/nm0001602,53
 Mark Ruffalo,1967-11-22,1967-11-22,"Kenosha, Wisconsin, USA",,,,https://www.imdb.com//name/nm0749263,53
 Mickey Rourke,1952-9-16,1952-09-16,"Schenectady, New York, USA",,,,https://www.imdb.com//name/nm0000620,68
 Frank Langella,1938-1-1,1938-01-01,"Bayonne, New Jersey, USA",,,,https://www.imdb.com//name/nm0001449,83
 Eddie Redmayne,1982-1-6,1982-01-06,"London, England, UK",,,,https://www.imdb.com//name/nm1519666,39
 David Strathairn,1949-1-26,1949-01-26,"San Francisco, California, USA",,,,https://www.imdb.com//name/nm0000657,72
 Terrence Howard,1969-3-11,1969-03-11,"Chicago, Illinois, USA",,,,https://www.imdb.com//name/nm0005024,52
 Ralph Fiennes,1962-12-22,1962-12-22,"Ipswich, Suffolk, England, UK",,,,https://www.imdb.com//name/nm0000146,58
 Tom Wilkinson,1948-2-5,1948-02-05,"Leeds, West Yorkshire, England, UK",,,,https://www.imdb.com//name/nm0929489,73
 Richard Farnsworth,1920-9-1,1920-09-01,"Los Angeles, California, USA",2000-10-6,2000-10-06,"Lincoln, New Mexico, USA",https://www.imdb.com//name/nm0002070,80
 Nick Nolte,1941-2-8,1941-02-08,"Omaha, Nebraska, USA",,,,https://www.imdb.com//name/nm0000560,80
 AnnaSophia Robb,1993-12-8,1993-12-08,"Denver, Colorado, USA",,,,https://www.imdb.com//name/nm1455681,27
 Gemma Arterton,1986-2-2,1986-02-02,"Gravesend, Kent, England, UK",,,,https://www.imdb.com//name/nm2605345,35
 Olivia Wilde,1984-3-10,1984-03-10,"New York City, New York, USA",,,,https://www.imdb.com//name/nm1312575,37
 Isla Fisher,1976-2-3,1976-02-03,"Muscat, Oman",,,,https://www.imdb.com//name/nm0279545,45
 Shailene Woodley,1991-11-15,1991-11-15,"Simi Valley, California, USA",,,,https://www.imdb.com//name/nm0940362,29
 Rebel Wilson,1980-3-2,1980-03-02,"Sydney, New South Wales, Australia",,,,https://www.imdb.com//name/nm2313103,41
 Emma Roberts,1991-2-10,1991-02-10,"Rhinebeck, New York, USA",,,,https://www.imdb.com//name/nm0731075,30
 Amber Heard,1986-4-22,1986-04-22,"Austin, Texas, USA",,,,https://www.imdb.com//name/nm1720028,35
 Teresa Palmer,1986-2-26,1986-02-26,"Adelaide, South Australia, Australia",,,,https://www.imdb.com//name/nm1954240,35
 Saoirse Ronan,1994-4-12,1994-04-12,"The Bronx, New York City, New York, USA",,,,https://www.imdb.com//name/nm1519680,27
 Elizabeth Banks,1974-2-10,1974-02-10,"Pittsfield, Massachusetts, USA",,,,https://www.imdb.com//name/nm0006969,47
 Ida Lupino,1918-2-4,1918-02-04,"Camberwell, London, England, UK",1995-8-3,1995-08-03,"Los Angeles, California, USA",https://www.imdb.com//name/nm0526946,77
 Natalie Dormer,1982-2-11,1982-02-11,"Reading, Berkshire, England, UK",,,,https://www.imdb.com//name/nm1754059,39
 Brittany Snow,1986-3-9,1986-03-09,"Tampa, Florida, USA",,,,https://www.imdb.com//name/nm0811242,35
 Kate Mara,1983-2-27,1983-02-27,"Bedford, New York, USA",,,,https://www.imdb.com//name/nm0544718,38
 Julianne Hough,1988-7-20,1988-07-20,"Salt Lake City, Utah, USA",,,,https://www.imdb.com//name/nm2584600,33
 Lily Collins,1989-3-18,1989-03-18,"Guildford, Surrey, England, UK",,,,https://www.imdb.com//name/nm2934314,32
 Cobie Smulders,1982-4-3,1982-04-03,"Vancouver, British Columbia, Canada",,,,https://www.imdb.com//name/nm1130627,39
 Alice Eve,1982-2-6,1982-02-06,"London, England, UK",,,,https://www.imdb.com//name/nm1404408,39
 Jamie Chung,1983-4-10,1983-04-10,"San Francisco, California, USA",,,,https://www.imdb.com//name/nm1512166,38
 Noomi Rapace,1979-12-28,1979-12-28,"Hudiksvall, Gävleborgs län, Sweden",,,,https://www.imdb.com//name/nm0636426,41
 Blake Lively,1987-8-25,1987-08-25,"Los Angeles, California, USA",,,,https://www.imdb.com//name/nm0515116,33
 Maggie Grace,1983-9-21,1983-09-21,"Columbus, Ohio, USA",,,,https://www.imdb.com//name/nm1192254,37
 Jessica Biel,1982-3-3,1982-03-03,"Ely, Minnesota, USA",,,,https://www.imdb.com//name/nm0004754,39
 Eva Green,1980-7-6,1980-07-06,"Paris, France",,,,https://www.imdb.com//name/nm1200692,41
 Peter Fonda,1940-2-23,1940-02-23,"New York City, New York, USA",2019-8-16,2019-08-16,"Los Angeles, California, USA",https://www.imdb.com//name/nm0001228,79
 Woody Harrelson,1961-7-23,1961-07-23,"Midland, Texas, USA",,,,https://www.imdb.com//name/nm0000437,60
 Billy Bob Thornton,1955-8-4,1955-08-04,"Hot Springs, Arkansas, USA",,,,https://www.imdb.com//name/nm0000671,65
 Idris Elba,1972-9-6,1972-09-06,"Hackney, London, England, UK",,,,https://www.imdb.com//name/nm0252961,48
 Nigel Hawthorne,1929-4-5,1929-04-05,"Coventry, Warwickshire, England, UK",2001-12-26,2001-12-26,"Radwell, Hertfordshire, England, UK",https://www.imdb.com//name/nm0001329,72
 Laurence Fishburne,1961-7-30,1961-07-30,"Augusta, Georgia, USA",,,,https://www.imdb.com//name/nm0000401,60
 Stephen Rea,1946-10-31,1946-10-31,"Belfast, Northern Ireland, UK",,,,https://www.imdb.com//name/nm0001653,74
 Warren Beatty,1937-3-30,1937-03-30,"Richmond, Virginia, USA",,,,https://www.imdb.com//name/nm0000886,84
 Richard Harris,1930-10-1,1930-10-01,"Limerick, Ireland",2002-10-25,2002-10-25,"Bloomsbury, London, England, UK",https://www.imdb.com//name/nm0001321,72
 John Cusack,1966-6-28,1966-06-28,"Evanston, Illinois, USA",,,,https://www.imdb.com//name/nm0000131,55
 Kenneth Branagh,1960-12-10,1960-12-10,"Belfast, Northern Ireland, UK",,,,https://www.imdb.com//name/nm0000110,60
 Edward James Olmos,1947-2-24,1947-02-24,"Los Angeles, California, USA",,,,https://www.imdb.com//name/nm0001579,74
 Max von Sydow,1929-4-10,1929-04-10,"Lund, Skåne län, Sweden",2020-3-8,2020-03-08,"Seillans, Var, France",https://www.imdb.com//name/nm0001884,90
 Bruce Dern,1936-6-4,1936-06-04,"Chicago, Illinois, USA",,,,https://www.imdb.com//name/nm0001136,85
 Bob Hoskins,1942-10-26,1942-10-26,"Bury St. Edmunds, Suffolk, England, UK",2014-4-29,2014-04-29,"London, England, UK",https://www.imdb.com//name/nm0001364,71
 James Woods,1947-4-18,1947-04-18,"Vernal, Utah, USA",,,,https://www.imdb.com//name/nm0000249,74
 John Hawkes,1959-9-11,1959-09-11,"Alexandria, Minnesota, USA",,,,https://www.imdb.com//name/nm0370035,61
 James Garner,1928-4-7,1928-04-07,"Norman, Oklahoma, USA",2014-7-19,2014-07-19,"Brentwood, Los Angeles, California, USA",https://www.imdb.com//name/nm0001258,86
 Sam Waterston,1940-11-15,1940-11-15,"Cambridge, Massachusetts, USA",,,,https://www.imdb.com//name/nm0001832,80
 Tom Hulce,1953-12-6,1953-12-06,"Detroit, Michigan, USA",,,,https://www.imdb.com//name/nm0001371,67
 Albert Finney,1936-5-9,1936-05-09,"Salford, Lancashire, England, UK",2019-2-7,2019-02-07,"Chelsea, London, England, UK",https://www.imdb.com//name/nm0001215,82
 Tom Conti,1941-11-22,1941-11-22,"Paisley, Scotland, UK",,,,https://www.imdb.com//name/nm0002018,79
 Tom Courtenay,1937-2-25,1937-02-25,"Kingston-Upon-Hull, East Riding of Yorkshire, England, UK",,,,https://www.imdb.com//name/nm0183822,84
 Dudley Moore,1935-4-19,1935-04-19,"Dagenham, Essex, England, UK",2002-3-27,2002-03-27,"Plainfield, New Jersey, USA",https://www.imdb.com//name/nm0001545,66
 John Hurt,1940-1-22,1940-01-22,"Chesterfield, Derbyshire, England, UK",2017-1-25,2017-01-25,"East Runton, Cromer, Norfolk, England, UK",https://www.imdb.com//name/nm0000457,77
 Kat Dennings,1986-6-13,1986-06-13,"Philadelphia, Pennsylvania, USA",,,,https://www.imdb.com//name/nm0993507,35
 Priyanka Chopra Jonas,1982-7-18,1982-07-18,"Jamshedpur, Bihar, India",,,,https://www.imdb.com//name/nm1231899,39
 Emmanuelle Riva,1927-2-24,1927-02-24,"Cheniménil, Vosges, France",2017-1-27,2017-01-27,"Paris, France",https://www.imdb.com//name/nm0728938,89
 Greta Gerwig,1983-8-4,1983-08-04,"Sacramento, California, USA",,,,https://www.imdb.com//name/nm1950086,37
 Brie Larson,1989-10-1,1989-10-01,"Sacramento, California, USA",,,,https://www.imdb.com//name/nm0488953,31
 Jessica Lucas,1985-9-24,1985-09-24,"Vancouver, British Columbia, Canada",,,,https://www.imdb.com//name/nm1140300,35
 Maria Falconetti,1892-7-21,1892-07-21,"Pantin, Seine [now Seine-Saint-Denis], France",1946-12-12,1946-12-12,"Buenos Aires, Federal District, Argentina",https://www.imdb.com//name/nm0266029,54
 Greer Garson,1904-9-29,1904-09-29,"London, England, UK",1996-4-6,1996-04-06,"Dallas, Texas, USA",https://www.imdb.com//name/nm0002093,91
 Rosalind Russell,1907-6-4,1907-06-04,"Waterbury, Connecticut, USA",1976-11-28,1976-11-28,"Beverly Hills, Los Angeles, California, USA",https://www.imdb.com//name/nm0751426,69
 Raquel Welch,1940-9-5,1940-09-05,"Chicago, Illinois, USA",,,,https://www.imdb.com//name/nm0000079,80
 Linda Fiorentino,1958-3-9,1958-03-09,"Philadelphia, Pennsylvania, USA",,,,https://www.imdb.com//name/nm0000400,63
